master_trade_section,tcl_trade_suggested,status,notes
ACCESS CONTROLS,,UNMAPPED,
ACOUSTICAL CEILING,,UNMAPPED,
APPLIANCES,,UNMAPPED,
ASBESTOS,,UNMAPPED,
ASPHALT & PAVING,,UNMAPPED,
AWNING/CANOPIES,,UNMAPPED,
CONCRETE,Concrete,MAPPED,
CONCRETE CUTTING,,UNMAPPED,
CORNER GUARDS,,UNMAPPED,
DEMOLITION,Demolition,MAPPED,
DOORS/HARDWARE,,UNMAPPED,
DRYWALL,Drywall / ACT,MAPPED,
ELECTRICAL,Electrical,MAPPED,
ELEVATOR,,UNMAPPED,
FENCING,,UNMAPPED,
FINAL CLEAN,Final Cleaning,MAPPED,
FIRE ALARM,Fire Alarm,MAPPED,
FIRE EXTINGUISHERS,,UNMAPPED,
FIRE PROTECTION,Fire Sprinkler,MAPPED,
FIREPLACES,,UNMAPPED,
FLOORING,Flooring,MAPPED,
GLASS,,UNMAPPED,
HVAC,Mechanical,MAPPED,
INSULATION,Insulation,MAPPED,
LANDSCAPE,,UNMAPPED,
LOADING DOCK EQUIPMENT,,UNMAPPED,
LOCKERS,,UNMAPPED,
LOW VOLTAGE,Low Voltage,MAPPED,
"MARKERBOARDS, METAL/WIRE SHELVING",,UNMAPPED,
MASONRY,,UNMAPPED,
MILLWORK,Millwork,MAPPED,
MOVING SERVICES,,UNMAPPED,
OPERABLE PARTITIONS,,UNMAPPED,
OVERHEAD DOOR,,UNMAPPED,
PAINTING,,UNMAPPED,
PLASTERING & STUCCO,,UNMAPPED,
PLUMBING,Plumbing,MAPPED,
REBAR / RESTEEL,,UNMAPPED,
ROOFING,Roofing,MAPPED,
SCAFFOLDING,Scaffolding,MAPPED,
SHEET METAL,,UNMAPPED,
SIDING,,UNMAPPED,
SITE WORK,,UNMAPPED,
STEEL/TRUSSES,,UNMAPPED,
STRIPING,,UNMAPPED,
SURVEYING,,UNMAPPED,
TOILET PARTITIONS AND ACCESSORIES,,UNMAPPED,
WALL COVERINGS,,UNMAPPED,
WINDOW COVERINGS,,UNMAPPED,
WOOD FRAMING/TRUSSES,,UNMAPPED,
